id,title,description,availability,condition,price,link,image_link,brand
ai-stress-relief,AI Stress Relief,AI Courses / AI in Daily Life / AI Tools,in stock,new,50.00 USD,https://empoweredathome.com/product/making-ai-part-of-your-life-a-practical-introduction-to-artificial-intelligence/,https://empoweredathome.com/wp-content/uploads/2026/01/qtq80-zxlAqM-600x800.jpeg,Empowered At Home
amazon-astro-home-robot,Amazon Astro Home Robot,Home Automation / Home Robots / Robots for Kids & Hobbyists / Robots for Your Home / Smart Home,in stock,new,1249.00 USD,https://empoweredathome.com/product/amazon-astro-home-robot/,https://empoweredathome.com/wp-content/uploads/2026/06/amazon-astro-home-robot.jpg,Amazon
apple-vision-pro,Apple Vision Pro,AI in Daily Life / AI Tools / Home Automation / Smart Home,in stock,new,3199.00 USD,https://empoweredathome.com/product/apple-vision-pro/,https://empoweredathome.com/wp-content/uploads/2026/06/Vision_Pro_-_Front_detail-600x800.jpg,Apple
axiom-comic-1-axiom-triggers,Axiom Comic #1 — Axiom Trigger's,AI in Daily Life / Comics,in stock,new,9.99 USD,https://empoweredathome.com/product/axiom-comic-1-axiom-triggers/,https://empoweredathome.com/wp-content/uploads/2026/07/axiom-comic-trigger-cover-600x800.png,Empowered At Home
axiom-comic-2-axiom-the-predator,Axiom Comic #2 — Axiom The Predator,AI in Daily Life / Comics,in stock,new,9.99 USD,https://empoweredathome.com/product/axiom-comic-2-axiom-the-predator/,https://empoweredathome.com/wp-content/uploads/2026/07/comic-cover-The-Predatpr-600x800.png,Empowered At Home
axiom-comic-3-axiom-finding-bob,Axiom Comic #3 — Axiom Finding Bob,AI in Daily Life / Comics,in stock,new,9.99 USD,https://empoweredathome.com/product/axiom-comic-3-axiom-finds-bob/,https://empoweredathome.com/wp-content/uploads/2026/06/axiom-comic-finding-bob-600x800.png,Empowered At Home
boston-dynamics-spot-enterprise,Boston Dynamics Spot Enterprise,Industrial Automation / Robots for Work,in stock,new,69900.00 USD,https://empoweredathome.com/product/boston-dynamics-spot-enterprise/,https://empoweredathome.com/wp-content/uploads/2026/06/Spot_robot_Royal_Air_Force-600x800.jpg,Boston Dynamics
ecovacs-deebot-x2-omni,Ecovacs Deebot X2 Omni,Home Automation / Home Robots / Robot Vacuums / Robots for Your Home / Smart Home,in stock,new,899.00 USD,https://empoweredathome.com/product/ecovacs-deebot-x2-omni/,https://empoweredathome.com/wp-content/uploads/woocommerce-placeholder-600x800.webp,Ecovacs
eufy-robovac-x10-pro-omni,Eufy RoboVac X10 Pro Omni,Home Automation / Home Robots / Robot Vacuums / Robots for Your Home / Smart Home,in stock,new,549.00 USD,https://empoweredathome.com/product/eufy-robovac-x10-pro-omni/,https://empoweredathome.com/wp-content/uploads/2026/06/eufy_robovac_x10_pro_omni.png_preview-600x800.jpeg,Eufy
figure-ai-01-humanoid-robot,Figure AI 01 Humanoid Robot,AI Tools / Humanoid Robots / Industrial Automation / Robots for Work,in stock,new,150000.00 USD,https://empoweredathome.com/product/figure-ai-01-humanoid-robot/,https://empoweredathome.com/wp-content/uploads/2026/06/07ca6cca-2720-4fec-8cb2-7b7f5f13dade-openai-image-ewcmkjyvor-0-600x800.png,Figure AI
google-nest-thermostat-4th-gen,Google Nest Thermostat (4th Gen),AI in Daily Life / AI Tools / Home Automation / Smart Home,in stock,new,179.00 USD,https://empoweredathome.com/product/google-nest-thermostat-4th-gen/,https://empoweredathome.com/wp-content/uploads/2026/06/google_nest_thermostat_4th_gen-600x800.png,Google
nvidia-jetson-orin-nano-developer-kit,NVIDIA Jetson Orin Nano Developer Kit,AI in Daily Life / AI Tools / Home Automation,in stock,new,449.00 USD,https://empoweredathome.com/product/nvidia-jetson-orin-nano-developer-kit/,https://empoweredathome.com/wp-content/uploads/2026/06/NVIDIA_Jetson_Nano_Developer_Kit_284079026199329-600x800.jpg,NVIDIA
